   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
      457    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       81    0.002    0.000    0.003    0.000 CodonTable.py:376(__init__)
       78    0.001    0.000    0.002    0.000 pymol_gl_widget.py:170(_event_x_y_mod)
        2    0.002    0.001    0.002    0.001 {built-in method setStyleSheet}
       19    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1295(exec_module)
     3084    0.002    0.000    0.002    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.002    0.002 save_shortcut.py:1(<module>)
        1    0.000    0.000    0.002    0.002 tempfile.py:1(<module>)
      312    0.000    0.000    0.002    0.000 Entity.py:251(set_parent)
        1    0.000    0.000    0.002    0.002 dbapi2.py:1(<module>)
     3086    0.002    0.000    0.002    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.002    0.002 numerictypes.py:1(<module>)
       19    0.002    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
      312    0.000    0.000    0.002    0.000 Entity.py:147(_reset_full_id)
      588    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.002    0.002 invocation.py:1(<module>)
      715    0.002    0.000    0.002    0.000 CodonTable.py:286(<genexpr>)
     5859    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
      314    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
       22    0.002    0.000    0.002    0.000 {built-in method builtins.eval}
        1    0.002    0.002    0.002    0.002 {built-in method setFont}
        1    0.000    0.000    0.002    0.002 scimath.py:1(<module>)
        1    0.000    0.000    0.002    0.002 thread.py:1(<module>)
     9179    0.001    0.000    0.002    0.000 prepare_data.py:55(<genexpr>)
     3062    0.002    0.000    0.002    0.000 warnings.py:456(__init__)
        1    0.000    0.000    0.002    0.002 internal_coords.py:4520(AtomKey)
       53    0.002    0.000    0.002    0.000 shortcut.py:90(_rebuild_finalize)
      693    0.002    0.000    0.002    0.000 CodonTable.py:296(<genexpr>)
     3075    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      200    0.001    0.000    0.002    0.000 _compiler.py:243(_optimize_charset)
      458    0.002    0.000    0.002    0.000 CodonTable.py:291(<genexpr>)
        1    0.000    0.000    0.002    0.002 commanding.py:244(_load_splash_image)
     6324    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
       90    0.000    0.000    0.002    0.000 _compiler.py:511(_compile_info)
       32    0.000    0.000    0.002    0.000 typing.py:1047(_generic_class_getitem)
        1    0.000    0.000    0.002    0.002 pkl.py:1(<module>)
      348    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
     3083    0.002    0.000    0.002    0.000 {built-in method sys.audit}
       86    0.000    0.000    0.002    0.000 typing.py:1573(__hash__)
        1    0.000    0.000    0.002    0.002 header.py:1(<module>)
        8    0.000    0.000    0.002    0.000 typing.py:2780(__new__)
      312    0.001    0.000    0.002    0.000 Entity.py:160(_generate_full_id)
        1    0.000    0.000    0.002    0.002 invocation.py:236(parse_args)
        1    0.000    0.000    0.002    0.002 __init__.py:469(StrFormatStyle)
        1    0.000    0.000    0.002    0.002 _scimath_impl.py:1(<module>)
      595    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
       36    0.000    0.000    0.002    0.000 getlimits.py:111(_float_to_str)
     7776    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
     3606    0.002    0.000    0.002    0.000 {method 'add' of 'set' objects}
       38    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
